Time (s),Value A
0.04508686065673828,2.64
0.09447932243347168,6.0
0.14505767822265625,6.92
0.19461441040039062,3.16
0.24486446380615234,2.64
0.29427599906921387,4.89
0.3444979190826416,6.24
0.3948650360107422,3.31
0.44405341148376465,3.46
0.4943239688873291,1.73
0.5445427894592285,5.56
0.5949108600616455,8.24
0.6441044807434082,8.0
0.6944987773895264,4.47
0.7447078227996826,4.58
0.7949700355529785,3.16
0.8441541194915771,4.47
0.894463300704956,4.0
0.9446704387664795,3.46
0.9948968887329102,1.73
1.0441927909851074,3.6
1.0947930812835693,8.18
1.1446130275726318,2.23
1.1943025588989258,2.82
1.2441058158874512,5.47
1.2943363189697266,1.73
1.344425916671753,6.24
1.3945980072021484,5.19
1.4440436363220215,3.74
1.4943137168884277,5.29
1.544156789779663,2.0
1.5943737030029297,1.41
1.6441316604614258,7.41
1.6942529678344727,9.11
1.7441673278808594,4.12
1.7943570613861084,3.74
1.8442728519439697,2.64
1.894442081451416,6.0
1.944117546081543,9.64
1.9943044185638428,2.23
2.0443222522735596,2.64
2.094588041305542,4.89
2.144412040710449,6.7
2.1945412158966064,1.41
2.244204044342041,9.0
2.2943925857543945,1.0
2.3441901206970215,2.82
2.3943819999694824,8.77
2.444103956222534,8.18
2.4942691326141357,6.92
2.544124126434326,5.91
2.5943171977996826,1.41
2.644204616546631,1.41
2.6943700313568115,2.0
2.744133472442627,4.69
2.7943081855773926,4.12
2.8441545963287354,2.0
2.8943264484405518,9.53
2.9442214965820312,1.41
2.994394540786743,1.73
3.0441646575927734,1.41
3.0943362712860107,1.41
3.1444320678710938,5.74
3.1948060989379883,1.41
3.2442173957824707,2.82
3.294391393661499,2.0
3.3441739082336426,1.73
3.3943541049957275,3.87
3.4441347122192383,1.73
3.494309186935425,9.27
3.54424786567688,1.0
3.5944368839263916,1.73
3.6441407203674316,4.89
3.6943328380584717,3.0
3.7441484928131104,7.93
3.794318199157715,6.55
3.8442206382751465,2.0
3.894408941268921,4.69
3.9443912506103516,4.12
3.9945597648620605,5.19
4.044888257980347,8.18
4.094062328338623,7.34
4.144519805908203,6.63
4.194866418838501,1.0
4.2441301345825195,8.18
4.294297933578491,6.08
4.344166994094849,1.0
4.394332647323608,1.73
4.4441423416137695,7.68
4.494304656982422,5.09
4.544239282608032,4.24
4.594436168670654,6.55
4.644156217575073,5.91
4.694351673126221,1.73
4.744204521179199,7.28
4.794384717941284,1.73
4.844243288040161,4.89
4.894443511962891,1.73
4.944156646728516,4.47
4.994328498840332,1.73
5.044174909591675,4.12
5.094348192214966,3.6
5.14451003074646,6.0
5.194675922393799,1.41
5.244184494018555,3.6
5.294376611709595,7.21
5.344149827957153,1.73
5.394351243972778,1.73
5.444233179092407,2.0
5.494399785995483,3.87
5.544152736663818,5.38
5.5943567752838135,1.41
5.644137620925903,1.73
5.694363117218018,1.73
5.744253635406494,5.91
5.794443130493164,2.44
5.844139575958252,7.74
5.894338130950928,5.47
5.94416356086731,2.23
5.994359970092773,1.73
6.044574022293091,11.18
6.094861745834351,2.44
6.144479751586914,1.73
6.194731950759888,5.47
6.244146108627319,7.0
6.2943127155303955,2.23
6.344262361526489,5.29
6.394425392150879,4.69
6.444153308868408,7.54
6.494323253631592,6.85
6.544162034988403,2.0
6.594334840774536,6.55
6.644258499145508,8.18
6.694463729858398,2.44
6.74415922164917,6.32
6.794332504272461,5.83
6.8441503047943115,3.74
6.894312620162964,5.56
6.944270849227905,1.41
6.994432210922241,4.89
7.04415225982666,1.41
7.0944085121154785,1.0
7.144454717636108,7.81
7.194666624069214,9.05
7.244244813919067,1.41
7.2944488525390625,5.74
7.344151020050049,5.47
7.3943397998809814,3.87
7.444149971008301,4.12
7.494316101074219,1.73
7.5442469120025635,10.09
7.594451189041138,1.41
7.6441428661346436,1.73
7.694305419921875,2.44
7.744170427322388,5.38
7.794342517852783,2.64
7.844236612319946,5.19
7.894400596618652,6.16
7.944153070449829,2.44
7.994313955307007,10.04
8.04417634010315,1.41
8.094364404678345,1.41
8.144529819488525,1.73
8.194906949996948,8.71
8.244122505187988,1.41
8.2942955493927,5.74
8.34412670135498,2.82
8.39432144165039,5.91
8.444105863571167,1.41
8.494433403015137,7.41
8.544217824935913,7.93
8.594398021697998,1.73
8.644176959991455,7.41
8.694360494613647,1.73
8.744162797927856,7.68
8.794331312179565,1.41
8.84424901008606,4.58
8.894407749176025,1.73
8.94417119026184,3.0
8.994342803955078,8.12
9.044148445129395,1.41
9.094316244125366,8.18
9.14460802078247,4.69
9.194952011108398,1.73
9.244175672531128,11.83
9.294350147247314,2.23
9.344170570373535,4.47
9.394339799880981,6.24
9.444169044494629,1.73
9.494349002838135,6.08
9.544270038604736,1.73
9.594445705413818,1.73
9.644148111343384,8.77
9.694314241409302,1.73
9.744160652160645,1.73
9.794350862503052,5.19
9.84426236152649,1.73
9.894456624984741,5.38
9.944172859191895,3.46
9.994365692138672,6.48
10.044156551361084,2.44
10.094335317611694,1.73
10.144556522369385,8.42
10.194915056228638,1.73
10.244189500808716,10.09
10.294363975524902,10.04
10.344188451766968,1.73
10.394391298294067,5.0
10.44419550895691,7.74
10.494361400604248,1.73
10.544273376464844,7.87
10.594472169876099,7.07
10.644158124923706,1.41
10.69432783126831,5.83
10.744167804718018,5.56
10.79433822631836,1.73
10.844257831573486,1.0
10.894432306289673,7.54
10.944170475006104,3.0
10.994359254837036,4.47
11.044196844100952,1.73
11.09436321258545,1.73
11.144582748413086,7.21
11.194794178009033,1.73
11.244174480438232,9.64
11.294342279434204,1.73
11.344166994094849,1.41
11.394343137741089,8.77
11.444198846817017,5.29
11.494359970092773,5.38
11.544288158416748,1.73
11.594468832015991,8.3
11.64420461654663,1.73
11.694416284561157,1.73
11.744234323501587,4.12
11.79440975189209,1.73
11.844290018081665,1.0
11.894460201263428,4.24
11.944213151931763,7.81
11.994404554367065,5.38
12.04418659210205,1.73
12.094350814819336,1.73
12.144551992416382,4.89
12.19472861289978,8.3
12.244204998016357,4.58
12.294394254684448,1.41
12.34417986869812,1.73
12.394365072250366,10.39
12.444292545318604,2.82
12.494455337524414,2.0
12.544194459915161,2.23
12.594375610351562,2.23
12.644188642501831,8.6
12.694365978240967,1.41
12.74428105354309,10.19
12.794450759887695,1.41
12.844196557998657,7.21
12.894364356994629,8.83
12.944190263748169,1.41
12.994362354278564,4.47
13.044189929962158,9.05
13.09435486793518,7.48
13.144515752792358,2.0
13.194837808609009,9.69
13.244185209274292,1.41
13.29435682296753,9.53
13.344283819198608,2.0
13.394456624984741,1.73
13.44420862197876,4.69
13.494398593902588,1.73
13.544217348098755,8.88
13.594400405883789,2.0
13.644204378128052,5.38
13.694375038146973,1.73
13.744200944900513,1.41
13.794376373291016,10.48
13.844180822372437,1.73
13.894344329833984,8.36
13.94429349899292,3.0
13.994485855102539,1.41
14.04417371749878,1.0
14.0943443775177,2.44
14.144482374191284,9.05
14.194663047790527,2.0
14.244263887405396,6.78
14.29442834854126,1.73
14.344164609909058,6.92
14.394336223602295,5.56
14.444167852401733,1.73
14.494334697723389,4.0
14.54427719116211,8.88
14.594456195831299,6.0
14.64417576789856,9.53
14.694342851638794,1.41
14.744162797927856,2.0
14.794338703155518,3.16
14.844261407852173,9.59
14.894453048706055,3.74
14.944197177886963,2.23
14.99437928199768,1.41
15.044207334518433,7.0
15.094374179840088,2.64
15.144608497619629,1.41
15.194809913635254,1.73
15.244211196899414,10.95
15.294379949569702,3.87
15.344185829162598,1.73
15.394375085830688,1.41
15.444197654724121,1.41
15.49436616897583,1.41
15.544302225112915,4.12
15.5944983959198,10.04
15.644200801849365,1.73
15.694361925125122,2.23
15.744197130203247,5.74
15.794380187988281,2.0
15.844296932220459,1.73
15.894474744796753,5.91
15.94419527053833,9.79
15.994384527206421,9.89
16.044131755828857,7.14
16.094300031661987,1.41
16.14459753036499,4.12
16.194780826568604,2.0
16.244203090667725,6.92
16.294376611709595,10.0
16.34420680999756,7.87
16.394383192062378,1.73
16.44421148300171,7.74
16.49437928199768,10.39
16.54431414604187,10.24
16.59448742866516,1.73
16.64421319961548,3.87
16.694390296936035,5.47
16.744194269180298,7.61
16.794381141662598,7.48
16.844306230545044,8.18
16.894484043121338,9.84
16.944206714630127,10.14
16.994384765625,8.66
17.0441997051239,5.65
17.094372034072876,2.44
17.14459228515625,1.41
17.19477081298828,1.73
17.24421739578247,1.73
17.294444799423218,2.0
17.344194173812866,2.0
17.394397020339966,1.41
17.444311380386353,2.0
17.494474411010742,2.0
17.54422950744629,7.87
17.594409227371216,8.36
17.64435887336731,1.73
17.694560050964355,1.41
17.74428415298462,6.24
17.794461488723755,1.73
17.84421682357788,2.0
17.89437770843506,2.82
17.94419765472412,6.7
17.994391202926636,6.7
18.04415774345398,6.55
18.09432077407837,5.74
18.144511699676514,5.38
18.194709539413452,6.0
18.244178295135498,7.54
18.294345140457153,5.38
18.344310998916626,2.0
18.394484996795654,1.41
18.444205045700073,10.67
18.494380474090576,10.58
18.54417109489441,6.08
18.594347953796387,1.73
18.64433717727661,2.0
18.694499492645264,2.82
18.74420142173767,4.89
18.79437255859375,1.73
18.844205379486084,4.47
18.894364595413208,1.41
18.944321870803833,7.74
18.99449348449707,1.73
19.044218063354492,1.73
19.09443688392639,1.41
19.14453625679016,2.64
19.1947922706604,1.41
19.24428677558899,11.83
19.29444909095764,10.19
19.34420609474182,4.79
19.394387006759644,5.91
19.444229125976562,8.83
19.49439263343811,7.28
19.54432725906372,3.0
19.594516038894653,7.61
19.64424157142639,1.73
19.69439935684204,2.0
19.744203090667725,9.43
19.794373750686646,6.16
19.844303369522095,9.16
19.894493579864502,1.73
19.944250106811523,4.69
19.99441909790039,2.44
20.044151306152344,10.63
20.09433674812317,10.86
20.144641876220703,8.42
20.194996118545532,2.82
20.244224786758423,2.44
20.294397115707397,1.73
20.34421706199646,3.87
20.394403219223022,5.83
20.444225549697876,2.0
20.494383811950684,2.0
20.544315576553345,1.41
20.594510078430176,2.23
20.64425039291382,11.66
20.6944260597229,7.81
20.74422025680542,2.23
20.794395923614502,4.0
20.844306707382202,8.48
20.894477367401123,1.73
20.94423532485962,1.0
20.994423627853394,1.41
21.044209957122803,1.41
21.094371557235718,3.46
21.144667625427246,5.19
21.194854736328125,1.73
21.244224071502686,3.31
21.294411420822144,1.73
21.34419870376587,4.24
21.394371032714844,1.41
21.444220304489136,1.73
21.4943790435791,12.48
21.54430651664734,4.24
21.59448218345642,3.87
21.644245386123657,8.3
21.694406986236572,5.74
21.744224309921265,12.24
21.794400215148926,1.73
21.844300270080566,8.36
21.894468545913696,6.48
21.944193840026855,4.35
21.994386196136475,1.41
22.044212818145752,4.58
22.094377279281616,3.31
22.144835472106934,9.94
22.19400453567505,11.53
22.244224071502686,1.41
22.294410228729248,1.73
22.34422206878662,5.19
22.3943932056427,2.44
22.444287538528442,1.73
22.494443893432617,10.67
22.544217348098755,7.07
22.594407558441162,9.21
22.64423942565918,2.0
22.69440460205078,8.0
22.744290351867676,5.83
22.794475555419922,5.83
22.844197273254395,10.24
22.894366025924683,1.73
22.944119215011597,1.41
22.994290351867676,7.93
23.04432201385498,7.61
23.094484090805054,1.41
23.144476413726807,3.74
23.194632053375244,1.73
23.244192838668823,1.41
23.294358730316162,10.53
23.344278812408447,4.24
23.39444875717163,1.41
23.444199323654175,2.0
23.494378805160522,5.0
23.544196605682373,2.0
23.59437394142151,2.0
23.644285678863525,3.16
23.69448447227478,1.73
23.74418830871582,1.73
23.79436731338501,2.0
23.84419322013855,1.41
23.89436626434326,7.48
23.944280862808228,6.0
23.9944486618042,9.84
24.044140338897705,9.27
24.094310522079468,1.73
24.14447808265686,1.41
24.194655656814575,4.69
24.24428653717041,4.12
24.294469356536865,6.7
24.344175338745117,1.41
24.39434051513672,2.23
24.444196701049805,1.41
24.494361639022827,10.48
24.544280529022217,11.61
24.594454050064087,9.74
24.644264698028564,5.56
24.69444441795349,7.21
24.744185209274292,9.27
24.7943594455719,2.0
24.84428310394287,2.82
24.894444942474365,8.94
24.944144010543823,10.48
24.994314432144165,9.64
25.04420828819275,5.0
25.0943706035614,1.41
25.144614219665527,1.41
25.194839477539062,9.32
25.24420428276062,3.31
25.294390439987183,12.52
25.344191551208496,9.48
25.39437699317932,5.74
25.444196224212646,5.83
25.494370937347412,8.6
25.544310569763184,4.12
25.594486713409424,1.41
25.644207000732422,10.58
25.69438147544861,5.29
25.74462389945984,4.12
25.794727087020874,4.69
25.844173431396484,3.46
25.894343614578247,1.73
25.944225549697876,7.21
25.994425296783447,8.36
26.044344902038574,9.27
26.094516277313232,9.79
26.144614696502686,5.09
26.19483733177185,1.73
26.2442364692688,6.32
26.294405460357666,11.74
26.344237565994263,1.73
26.39442253112793,1.41
26.444274425506592,8.66
26.494438886642456,5.91
26.544328451156616,5.09
26.594501495361328,9.64
26.644233226776123,2.0
26.694391012191772,4.0
26.744226217269897,5.29
26.794405698776245,8.54
26.84431505203247,1.73
26.8944833278656,2.64
26.944247484207153,3.74
26.994453191757202,2.64
27.044246673583984,10.44
27.094409465789795,7.14
27.14463210105896,1.41
27.194844961166382,5.0
27.24426007270813,7.21
27.29443669319153,1.73
27.344266653060913,4.0
27.394437551498413,1.73
27.44426989555359,4.0
27.49443292617798,9.27
27.544375896453857,4.69
27.594555139541626,4.0
27.64425039291382,5.19
27.694409132003784,1.73
27.744235515594482,9.84
27.79441523551941,5.0
27.844324350357056,2.23
27.89448857307434,9.43
27.9442880153656,3.0
27.994455814361572,3.31
28.044255256652832,6.55
28.094412088394165,1.41
28.144672632217407,2.23
28.194031953811646,9.48
28.244760990142822,2.44
28.294656991958618,4.0
28.344834804534912,1.41
28.39421844482422,6.55
28.444390535354614,9.27
28.494225025177002,6.24
28.544427156448364,2.23
28.594218730926514,6.55
28.644399881362915,4.89
28.694278240203857,5.65
28.744441509246826,1.41
28.794233322143555,3.0
28.844419479370117,10.14
28.894224882125854,1.73
28.944387674331665,5.0
28.9942569732666,1.73
29.044431447982788,3.87
29.094231843948364,7.61
29.144723892211914,7.87
29.194223403930664,8.24
29.244394063949585,2.0
29.294238328933716,8.06
29.344404458999634,3.87
29.394285440444946,2.44
29.444470405578613,3.6
29.49425768852234,1.73
29.54443359375,7.07
29.594234228134155,1.41
29.644532680511475,6.78
29.694270372390747,4.0
29.74444842338562,1.73
29.794255256652832,7.74
29.84443211555481,7.81
29.894269227981567,5.83
29.944455862045288,4.58
29.9942626953125,8.88
30.044452905654907,5.09
30.094214916229248,2.0
30.144700288772583,4.58
30.194251537322998,1.41
30.244425296783447,9.43
30.29423761367798,2.44
30.344428300857544,6.24
30.394212007522583,5.47
30.44438648223877,7.14
30.494248151779175,1.41
30.544418573379517,8.94
30.594282388687134,5.19
30.644484996795654,8.88
30.69422936439514,7.07
30.74439239501953,2.44
30.79422640800476,1.73
30.84439182281494,6.16
30.89423656463623,3.16
30.944406509399414,10.14
30.99424934387207,2.0
31.04442524909973,6.92
31.094234228134155,6.48
31.144691705703735,5.91
31.19416570663452,10.04
31.244348764419556,5.29
31.294185400009155,1.0
31.344353437423706,8.88
31.394185543060303,3.87
31.444355010986328,1.73
31.494198322296143,10.0
31.54437828063965,5.38
31.594176292419434,1.73
31.64447546005249,8.06
31.694193601608276,3.31
31.744359970092773,5.38
31.794203281402588,4.0
31.844385147094727,7.68
31.894273281097412,9.43
31.944437742233276,7.68
31.9942786693573,1.73
32.044450759887695,6.92
32.09429478645325,6.55
32.14478826522827,5.56
32.19424867630005,3.87
32.24441719055176,4.69
32.29424810409546,2.64
32.34455943107605,1.41
32.394245862960815,5.29
32.44445300102234,2.0
32.494229555130005,10.0
32.544410943984985,7.74
32.59418988227844,6.7
32.64441633224487,8.94
32.6942195892334,6.32
32.74439859390259,1.41
32.79419422149658,2.0
32.8443603515625,2.0
32.89420533180237,11.18
32.94436860084534,7.61
32.99419689178467,2.44
33.0443856716156,6.85
33.09421420097351,1.73
33.14469814300537,12.32
33.1942241191864,7.87
33.24440264701843,9.32
33.294222593307495,1.73
33.344401359558105,6.4
33.39425182342529,5.56
33.44441246986389,1.41
33.49428868293762,10.48
33.54448366165161,9.79
33.59430932998657,9.16
33.64449644088745,1.41
33.69429421424866,1.73
33.744460105895996,4.89
33.79424858093262,9.27
33.84441256523132,7.41
33.89429020881653,8.12
33.94446611404419,1.41
33.99427628517151,6.32
34.04445004463196,8.88
34.094247341156006,6.32
34.14474081993103,8.94
34.19429683685303,10.34
34.24447846412659,1.73
34.2943012714386,7.41
34.34446382522583,7.68
34.394307136535645,6.78
34.444472551345825,1.73
34.494277238845825,5.19
34.544464111328125,5.83
34.59426999092102,5.74
34.64451050758362,5.56
34.694307804107666,5.47
34.744468450546265,1.41
34.79426836967468,2.82
34.84445381164551,1.73
34.89425754547119,8.12
34.94444799423218,3.74
34.99428153038025,7.34
35.04445934295654,11.0
35.09424948692322,1.41
35.14474368095398,7.81
35.194257497787476,9.11
35.244423151016235,1.73
35.29425096511841,1.41
35.34463024139404,1.73
35.39425849914551,4.12
35.44444227218628,3.31
35.494279623031616,5.91
35.544466733932495,3.16
35.594252586364746,1.73
35.64443492889404,4.12
35.69434356689453,11.0
35.744537115097046,7.07
35.79427886009216,8.36
35.844460248947144,1.73
35.89425992965698,5.83
35.94444012641907,5.65
35.9942193031311,2.0
36.04448437690735,1.73
36.0942280292511,7.87
36.14470386505127,6.85
36.194202184677124,2.0
36.244404315948486,6.16
36.294212341308594,7.61
36.344403982162476,12.16
36.39420771598816,8.3
36.44439387321472,2.82
36.49421215057373,6.63
36.54439449310303,4.35
36.594213008880615,10.53
36.6444137096405,2.0
36.694295167922974,2.0
36.74447250366211,1.73
36.79423666000366,6.7
36.84441900253296,3.16
36.89422392845154,8.83
36.94441366195679,6.78
36.99438738822937,1.41
37.04458832740784,9.16
37.09419584274292,1.41
37.144726514816284,5.83
37.19420576095581,8.42
37.24440026283264,6.4
37.2942271232605,9.11
37.344409227371216,8.06
37.394209146499634,6.85
37.44438099861145,2.44
37.49420213699341,6.55
37.544382095336914,2.64
37.59420204162598,3.46
37.64437961578369,6.32
37.694249629974365,6.48
37.744407176971436,6.24
37.794217348098755,9.11
37.844398975372314,6.08
37.89422273635864,5.74
37.944382429122925,5.47
37.99422025680542,1.0
38.044394731521606,1.41
38.094207763671875,1.73
38.14467144012451,7.48
38.19425320625305,1.73
38.24442410469055,8.42
38.29422569274902,1.73
38.344390630722046,2.0
38.394267320632935,6.16
38.44445610046387,3.46
38.49424457550049,5.0
38.54444122314453,1.73
38.59429621696472,6.63
38.64447855949402,7.28
38.694297075271606,8.54
38.7444703578949,10.72
38.79421639442444,7.74
38.84438467025757,6.24
38.89425826072693,3.0
38.944419860839844,4.69
38.994271993637085,8.88
39.04447841644287,6.63
39.094252824783325,8.48
39.14472937583923,10.39
39.194268465042114,5.19
39.24444794654846,6.24
39.29424214363098,10.09
39.344422340393066,2.82
39.3942506313324,1.41
39.444413900375366,5.65
39.494251012802124,6.55
39.544427156448364,2.0
39.59426689147949,9.48
39.6444456577301,7.21
39.694302797317505,6.92
39.744460105895996,5.74
39.79429841041565,5.65
39.84446382522583,7.34
39.894307136535645,10.0
39.944499254226685,1.73
39.99428939819336,10.39
40.04445815086365,8.36
40.094287633895874,4.35
40.144768714904785,5.83
40.19427180290222,3.87
40.24444890022278,1.73
40.29428768157959,8.48
40.34447264671326,12.04
40.39437699317932,1.73
40.44454741477966,3.31
40.494306802749634,3.87
40.544506311416626,13.71
40.594332456588745,10.86
40.644553661346436,10.58
40.69432234764099,1.41
40.74448347091675,9.64
40.79432463645935,2.64
40.84450054168701,6.0
40.89433479309082,1.73
40.944496870040894,1.41
40.99433135986328,8.66
41.044514179229736,2.82
41.09431338310242,1.41
41.14477896690369,10.09
41.19432282447815,7.0
41.24448847770691,11.04
41.29433631896973,2.0
41.344496965408325,5.74
41.39427208900452,6.4
41.44445013999939,10.19
41.494415283203125,3.0
41.54459071159363,5.74
41.59440279006958,8.66
41.6445631980896,2.0
41.69448518753052,6.85
41.74498510360718,8.71
41.79443073272705,8.42
41.8445942401886,3.16
41.89424443244934,6.0
41.94402885437012,7.07
41.994980335235596,8.3
42.04438877105713,9.32
42.09456157684326,9.53
42.14452242851257,1.0
42.194647550582886,1.0
42.24415946006775,5.65
42.29433298110962,9.21
42.3444242477417,6.48
42.394593954086304,1.41
42.444371461868286,6.48
42.494539737701416,5.29
42.544185161590576,6.08
42.594359159469604,1.41
42.644344091415405,11.61
42.694032192230225,6.7
42.744266986846924,1.41
42.79443907737732,1.73
42.84425950050354,6.32
42.89442014694214,6.55
42.9443473815918,9.05
42.994521141052246,9.16
43.04427623748779,1.0
43.094444274902344,8.54
43.14459037780762,5.38
43.19472908973694,7.93
43.244328022003174,9.05
43.294496059417725,4.89
43.34428334236145,7.41
43.39446187019348,2.0
43.4442572593689,1.41
43.49443221092224,7.87
43.54407978057861,9.38
43.59426784515381,7.28
43.64428424835205,6.48
43.69445610046387,5.83
43.744325160980225,4.89
43.794506788253784,7.68
43.84442138671875,10.48
43.894591093063354,1.73
43.94430160522461,6.4
43.994471073150635,7.14
44.04430103302002,3.0
44.09446334838867,7.48
44.14475226402283,1.73
44.19491791725159,3.0
44.24435329437256,3.87
44.29452300071716,8.18
44.34429311752319,6.55
44.39448857307434,1.73
44.44436049461365,9.38
44.49452233314514,7.81
44.54438662528992,1.73
44.59456133842468,8.3
44.644383668899536,9.74
44.69456505775452,9.16
44.744319438934326,1.41
44.794623136520386,1.41
44.84425759315491,6.32
44.8944354057312,9.53
44.94436168670654,7.61
44.9945650100708,1.41
45.04431223869324,7.41
45.09449625015259,5.74
45.14471483230591,5.09
45.19488191604614,10.44
45.24429798126221,1.73
45.29411864280701,6.24
45.34428882598877,1.41
45.3940954208374,7.41
45.44434118270874,3.16
45.494502544403076,6.85
45.54444408416748,7.0
45.59461426734924,3.74
45.644352197647095,5.19
45.6945264339447,4.69
45.74435520172119,6.55
45.79457330703735,1.41
45.844462633132935,7.93
45.894654989242554,7.21
45.94437789916992,10.09
45.99454689025879,6.63
46.044426679611206,9.94
46.09458827972412,1.73
46.144744873046875,10.72
46.19494986534119,5.65
46.24435615539551,4.35
46.29454565048218,10.19
46.34434771537781,6.48
46.3945472240448,1.41
46.44437026977539,5.47
46.49456810951233,6.08
46.544567823410034,6.32
46.59473657608032,6.0
46.6443657875061,3.31
46.69421887397766,6.85
46.74433946609497,1.73
46.79452872276306,6.4
46.84443998336792,1.73
46.89415216445923,11.95
46.944366455078125,4.47
46.99453258514404,1.73
47.04440784454346,9.53
47.09460425376892,4.35
47.14475989341736,5.83
47.194947481155396,2.0
47.244420528411865,9.79
47.29462265968323,3.6
47.34439563751221,7.81
47.394572019577026,5.38
47.44438076019287,12.24
47.494566679000854,10.53
47.544509172439575,8.77
47.59467792510986,1.41
47.64436411857605,9.11
47.69459342956543,2.0
47.744351625442505,11.09
47.79454016685486,6.0
47.84446430206299,9.48
47.894657373428345,3.87
47.94439196586609,6.0
47.994548320770264,4.47
48.04451274871826,12.52
48.09467673301697,9.27
48.144771337509155,4.12
48.19499683380127,10.09
48.24438261985779,5.09
48.29457640647888,8.77
48.344361305236816,2.23
48.39453077316284,7.68
48.44437050819397,7.07
48.49453282356262,11.04
48.54446792602539,12.6
48.594645738601685,3.6
48.64437675476074,1.73
48.69455146789551,5.0
48.74435091018677,8.54
48.79426312446594,6.55
48.84444260597229,7.74
48.894611120224,8.0
48.94438290596008,7.68
48.994550466537476,2.23
49.044350385665894,3.46
49.09451627731323,4.79
49.14475870132446,9.16
49.194955348968506,1.0
49.244354486465454,5.29
49.29455232620239,2.23
49.344356060028076,8.12
49.39453721046448,3.46
49.444425106048584,11.04
49.494590282440186,4.69
49.544480085372925,4.69
49.59465169906616,10.0
49.64436912536621,1.73
49.694533824920654,5.47
49.74433875083923,8.18
49.79454278945923,6.7
49.84446096420288,2.0
49.89463233947754,7.87
49.944374799728394,7.34
49.994544982910156,9.74
50.044365882873535,1.73
50.09453320503235,5.0
